seria 4-48-5
mouse	session	trial	line
H	1	1	ОМЭЯГЯЭМОЫОМЯЭЖЩУЗЯМИКАКЛЕР
H	1	2	ОИКДСШЕЛИМЯГЗУЩТЖЭЯЭМОЫОИКДСШР
H	2	1	ОФХКИМЯГЯЭЖТЩУЗГЗУЩТЩУЗЯМИЛЕРЕЛКАДСШСДХЦЗУЩТЖЭМИКДСШЕЛИМЭЖТ
H	2	2	ОФЦЗУЩТЩУЗГЗУЩУЗЦХКЛКАДХЦЗУЩТ
H	2	3	ОФХКИФЦГЗУЩТЖЭМИЛЕР
H	2	4	ОФЦЗУЩТЩУЗГЯМИКАДСШРШРЕЛИМЯГЦЗУЩТЖВЭМИКАДАХЦГЗУЗЦФОЫОФЦЯМЭЖЩУЗЯМИЛЕРЕЛКАКЛЕШСДАХЦЗУЩТ
H	2	5	ОИКДСШР
H	3	1	ОФХКЛЕШСДАХЦЯЭЖТЩУЗЯМОЫОФХДАХФОЫОФХКИМЭЖЩУЗГЦХКЛЕР
H	3	2	ОИЛБЛКАДХЦГЗУЩТ
H	3	3	ОФЦГЗУЩТЖЭМИКАХЦГЯЭВЖТЩУЗЦХКИМЭМОЫОФХЦХАДАХЦГЗУЗГЦХАКЛЕРШСДАХФМЯГЦФОЫОФЦГЗУЩТ
H	3	4	ОИКАДАХФИЛКАКЛКАХЦГЗУЩТЖЭМИКХЦЗУЗГЦФМЯГЦХАКЛЕРЕЛИФЦЗУЩТ
H	3	5	ОФХАКЛКАДСШР
H	3	6	ОФХЦГЦФОЫОИКХЦГЗУЩТЩУЗГЯЦХКЛБЕРШСДАХФМЭВЖЩУЗГЦФИЛЕР
H	4	1	ОФХАКЛЕРШСДАХЦГЯЭВЭЯЗУЗГЦФМИКАХЦЗУЩТЖЭМФХКЛИМЯГЦ
H	4	1	ХФХКИМЯГЦХАКАХФМЯЦЯМИКДСШР
H	4	2	ОФЦГЯЭВЖТЖЭМОЫОИКАХЦГЗУЩТ
H	4	3	ОФХАКИМЯГЗУЩТЩУЗГЯМЯЭВЭМФХКИФЦГЦФМИЛЕРЕЛКАХЦГЯМИКАХЦГЗУЗГЯМИМИМОЫОИЛЕРШСДАХЦГЯЭЖТ
H	4	4	ОФХАКИМЯГЗУЩТЩУЗГЦФЦГЯЭЖЩУЩТЖЭМИКАДАХФИЛИФХАКИМЯГЦХАКИФЦГЯЭЖТЩУЗГЗУЩТЖЭЯЦХКЛИОЫОИКАХЦЗУЩТ
H	6	5	КАХЦГЦФИЛ
H	6	1	ОИКАХФМЯГЯЭЖТЩУЗЦХАКЛЕРЕЛИМЭЯЦХКИМИКАДСШР
H	6	2	ОФХАХКИФХАХЦГЯЭЯГЯМОЫОФХЦГЗУЩТЩУЗГЦХАКИМИКАДАХЦГЗУЩТ
H	6	3	ОФХАКИМЯГЗУЩТ
H	6	4	ОФХАХЦГЯМИЛБЛКАХЦГЦФМЯГЦХАКХФХАДХЦГЗУЩТЩУЗЯМИЛКАХЦЗУЗЦХКХКИМИЛЕР
H	6	5	ОФХАКИМЯГЯМИКАХЦГЯМИКАХЦГЯЭМИКАКЛКАДСШСДАХЦГЯГЗУЩТЩУЗГЦФИКАХЦГЯМИЛЕР
H	6	6	ОФХАКИЛЕР
H	6	7	ОФ
