Челнок
mouse	session	trial	line
RatG2b	1 1	  ПШЕЮОИЁПШЕШПСДАКЛЕШПЁИФЦГЗЗУЙЭЧЮЕШШЕЛЮЧЖЧЮЕРШСДКЁП+
RatG2b	1 2	  ШМЭВЧОФХДСШРЕЮЧЖТЩУЗЦХЦЯЙН+
RatG2b	1 3	  УЗЦХДСШРЕЛКАДХЦГЗУНЩТЖЧЮЕРШП+
RatG2b	1 4   ЁИФХДСЁКАХЦЗУН+
RatG2b	1 5	  ЙЙМИЛЮЧЖТЩЙМИЁП+
RatG2b	1 6   ШПСДХЦГЗУН+
RatG2b	1 7	  ЩТЖЧОФХДХЦЗУНЙУНУНЙЭВЖЩНЙМИЁП+
RatG2b	1 8   ПШРЕЛЁПППШЕЮЧВЖЩУЗГЯЙН+

RatS2b	1 1	  ИЛБЮЧЭЯГЦФИЁП+
RatS2b	1 2	  ШЕЛЁПШРЕЮЧЖЩН+
RatS2b	1 3	  УНЩТЖЧЮБЕШПСЁИМЯГЗУНЙЯГЦХДАКЛБЮОИЁП+
RatS2b	1 4   ЁКАХЦГЯЙН+
RatS2b	1 5	  УНЙНЙЯГЗУНЩТЖЧЮЕРШП+
RatS2b	1 6   ЁИМЙН+
RatS2b	1 7	  УЗГЦХДСДКИФЦЗЯЭВЖЧЮЕРШП+
RatS2b	1 8   ШРЕЛЁПШПЁИФМЙН+

RatG2b	2 1	  ЮЛЁП+
RatG2b  2 2   СДАХЦЗУН+
RatG2b	2 3	  ЩЖЭЯГЦХАДСП+
RatG2b  2 4   ШЕЛИМЙН+
RatG2b	2 5   УНЩТЖЧЮБЕШП+

RatG2b	3 1	  СДХЦЗУН+
RatG2b	3 2	  УНЙЯГЦХДСП+

RatG2b	4 1	  ШЁЛЕШПСДАХЦГЗУН+
RatG2b	4 2	  ЩЖЧОИЁП+
RatG2b  4 3   ЁШЕЮЧЖЩН+
RatG2b	3 1	  ШЕШПЁПСДДСШПЁИМЯЙН+
RatG2b	3 2	  ЩЖЧЮЕШП+
RatG2b  3 3   ШЕБЮЧЖЩН+
RatG2b	3 4	  УЗГЦХДСП+
RatG2b	3 5	  ШРЕЛКАДСПШЕЮЧЖЩН+
RatG2b	3 6	  ЙЯГЦХАДСП+

RatS2b 2 1	ИЁПШЕЛИЁПШШСДА+
RatS2b 2 2	ХЦЗУНЩЖЧЮЕЛКАКИОЧЖТЩНЙЯЗУНЙМИЁПСДАКЁПЁЛБ+
RatS2b 2 3	ЮОФЦХАДСПЁИОЧЖТЩНУЗЯЙНУНЙМИЁПСДАКЛБЕРШПЁИМЙНУЩТЖЧЮБ+
RatS2b 2 4	ЕШПСДАХЦГЗЯЗУНЩЙМИЁПСДАХЦЗУНЙЭВ+
RatS2b 2 5	ЧЮЛКАКЁПЁЛБЛКАХЦЗУНЙМИЁПСДА

Gefest 1	1	ИЛБЮЧЖЩУЗЦФХДСШРЕЛИФЦЗУН+
Gefest 1	2	ЩЖЩНЙНУЗУЩТЖЧЮЕРШП+
Gefest 1	3   СЁКХЦЗУЩТЩН+
