бРНПНИ ВЕКМНЙ АЕГ ЙНТЕХМЮ.
mouse	session	trial	line
Rat 1 1	иъгсиъггъщвнхкчвфымилтудяьеччкйддяп+
Rat 1 2	рхнчеьпррядужгсм+
Rat 1 3 ищфымсгжудяп+
Rat 1 4 ьечвффвчеььееьяяпььрйужггъиищффвнтудяпрккхтуйкеьпььпяяядутлим+
Rat 1 5	сгъщвчеььечвфымсгжттуйрп+
Rat 2 1	ищвнхккйдяп+
Rat 2 2	яяпрйужгсм+
Rat 2 3	ыфвчеьп+
Rat 2 4	ьечнлъгсм+
Rat 2 5	сгжудяп+
Rat 2 6	рхнвфым+
Rat 2 7	ыфщимсгжудяп+
Rat 2 8	ядужгсм+
Rat 2 9	ыфвнхрп+
Rat 2 10 яяпяяркеьпьечвщим+
Rat 2 11	ссыыищфыссмищвнхккрп+
Rat 2 12	ядйхлим+
Rat 2 13	ыссиъггжудяп+
Rat 2 14	ьечвфым+
Rat 2 15	сгжтхрп+
Rat 2 16	яяпркчнлим+
Rat 2 17 иисгжтнвщимиъъщфымыфвчеьп+
Rat 2 18 ядйрпьечвфым+
Rat 2 19 ссмищвнхрп+
Rat 2 20 япььпяяпркччкйужгсм+

Rat 3 1	шнлщвчеьп+
Rat 3 2	ядужгсм+
Rat 3 3	ыфвчеьп+
Rat 3 4	ьекрпрйдярхтжгсм+
Rat 3 5 ищвчеьп+
Rat 3 6	ьекйужгсм+
Rat 3 7	ыфщъгссгжудяп+
Rat 3 8	ьекхлим+
Rat 3 9	ыыилхрп+
Rat 3 10	ьечвфым+
Rat 3 11	илхрп+
Rat 3 12	ядужгсм+
Rat 3 13	илхрп+
Rat 3 14	рхлим+
Rat 3 15	сгжудяп+
Rat 3 16	ядужгсм+
Rat 3 17	илхрп+
Rat 3 18	ьечвфым+
Rat 3 19	илхрп+
Rat 3 20	ьядужгсм+
Rat 3 21	сгжуйрп+
Rat 3 22	рхлим+
Rat 3 23	илхрп+
Rat 3 24	ядужгсм+
Rat 3 25	ищвчеьп+
Rat 3 26	рхлим+
Rat 3 27	сгжудяп+
Rat 3 28	рхлим+
Rat 3 29	ищвчеьп+
Rat 3 30	ядужгсм+
Rat 3 31	илхрп+
Rat 3 32	рхлим+
Rat 3 33	сгжудяп+
Rat 3 34	рхлим+
Rat 3 35	илхрп+
Rat 3 36	ьечвфым+
